id,LoanTypeDescription,Source,Rate,LoanTerm,AmountDisbursed,LoanOpenDate,LoanPayment,LoanPaymentMethodDesc,LoanCreditHighBal,PaymentMethods,InstancesOfDelinquency,CreditLifeInsurance,CreditDisabilityInsurance,ApprovalOfficerNumber,BranchName,IsRefinance,IsAddon,IsSecure,Zip,CreditScore,BankruptcyScore,OccupancyStatus,OccupancyDuration,MonthlyRent,Occupation,EmployedMonths,EmploymentStatus,IncomeVerifyMethod,TotalMonthlyIncome,MonthlyLiability,CoCreditScore,CoBankruptcyScore,CoOccupancyStatus,CoOccupancyDuration,CoMonthlyRent,CoOccupation,CoEmployedMonths,CoEmploymentStatus,CoTotalMonthlyIncome,CoMonthlyLiability,TotalDebtToIncomeFund,RevolvingDebtAmounts,NumberOfOpenRevolvingAccounts,TotalUnsecureBalance,TotalMonthlyDebt,Age_LoanOpenDate,MonthsOfMembership_loanopendate,AccountOpenDate,MonthsOfMembership,EstatementIndicator,DebitCardIndicator,CreditCardIndicator,DirectDepositsReceived,AvgDirectDeposit,SavingsProductsPreLoan,SavingsProductsPostLoan,LoanProductsPreLoan,LoanProductsPostLoan,AvgTotalDeposits,HomeBankingFirstLogInDate,NumberOfLoginsBeforeLoan,NumberOfLoginsAfterLoan,DealershipName,TotalVehicleValue,FundedLTV,EstimatedVehiclePayment,VehicleColor,VehicleMake,VehicleModel,VehicleMileage,IsNewVehicle,VehicleYear,IsIndirectLoan,TradeValue,TradeAllowance,TradeType,TradePayoff,TradeMake,TradeModel,GAPInsurance,IWS,BinaryTarget
243498,USEDAUTO,CONSUMER,2.79,66,13630.7,29SEP2015,223.28,Cash,13630.7,Unknown--ACH-1-HomeBanking-23,0,N,N,1208,VirtualBranch,N,N,Y,32839-5237,751,435,RENT,12,400.0,SERVER,12,EM,,2400.0,25.0,,,,,,,,,,,27.012,937.0,2.0,937.0,248.28,23,132,08SEP2004,156,Y,Y,Y,56.0,405.15,2,0,0,0,1319.5222,10/27/2012,2106,532,,13666.47,99.738,221.94,WHITE,SUBARU,LEGACY-4CYL.,45000,N,2012,N,0.0,0.0,,0.0,,,N,N,0
95990,INDIRECTNEWAUTO,GATEWAY,7.5,72,19587.74,08FEB2014,339.73,Cash,19588.0,ACH-32-Cash-1,19,N,N,1340,,N,N,Y,32835,0,0,LIVEWITHPARENTS,12,0.0,SECRETARY,60,EM,,2416.67,0.0,,,,,,,,,,,14.058,0.0,0.0,0.0,339.73,34,0,08FEB2014,43,N,N,N,,,0,1,0,0,4.0322,,0,0,TOYOTAOFORLANDO,18899.0,103.644,327.85,,TOYOTA,COROLLA,11,Y,2014,Y,0.0,0.0,,0.0,,,N,N,0
142831,INDIRECTUSEDAUTO,GATEWAY,8.0,72,14279.23,21JUN2014,251.2,Cash,14280.0,Unknown-,0,N,N,1208,,N,N,Y,34711,661,288,LIVEWITHPARENTS,216,0.0,COOK,24,EM,,1620.82,50.0,,,,,,,,,,,18.583,0.0,0.0,2339.0,301.2,20,0,21JUN2014,39,N,N,N,,,0,1,0,0,63.9916,,0,0,TOYOTAOFCLERMONT,16150.0,88.416,250.33,,TOYOTA,COROLLA4DRSDNAUTOLE(SE),32099,N,2013,Y,0.0,0.0,,0.0,,,N,N,0
253808,INDIRECTUSEDAUTO,GATEWAY,3.49,66,30301.21,28OCT2015,505.98,Coupon,30301.21,Unknown--Cash-2-Check-3-HomeBanking-4,6,N,N,1439,,N,N,Y,33597,697,314,OWN,135,0.0,MGR,37,EM,,2900.0,478.46,,,,,,,,,,,33.946,337.0,2.0,11814.0,984.44,54,0,28OCT2015,23,N,N,N,17.0,68.8758,0,0,0,0,51.1016,,0,0,PHILLIPSTOYOTA,26625.0,113.807,410.22,,TOYOTA,4RUNNER-V6UTILITY4DLIMITED2WD,86701,N,2010,Y,0.0,-1500.0,,1500.0,GMC,ENVOY,N,N,1
385765,USEDAUTO,LENDER,2.74,66,9834.39,14FEB2017,160.88,Coupon,9834.39,HomeBanking-6,0,N,N,1054,EastOrlando,N,N,Y,32708-4829,665,351,BUYING,18,0.0,SALONOWNER/OPERATOR,48,EM,,2750.0,1026.0,734.0,399.0,BUYING,36.0,0.0,CORRECTIONOFFICER,100.0,EM,2733.33,0.0,21.645,1866.0,4.0,11169.0,1186.88,25,13,11JAN2016,20,Y,Y,N,122.0,182.3564,2,0,0,0,2593.125,1/11/2016,199,167,FIELDSCHRYSLERJEEPDODGERAM,15200.0,64.7,214.94,,JEEP,PATRIOT,22043,N,2016,N,0.0,0.0,,0.0,,,N,N,0
97766,USEDAUTO,LENDER,3.35,75,21432.54,08FEB2014,317.6,Cash,21433.0,Unknown--Check-1-Draft-6,0,N,N,1020,Kissimmee,N,N,Y,32837,757,300,RENT,0,400.0,CUSTOMERSERVICESP,18,EM,,2522.0,25.0,,,,,,,,,,,29.445,546.0,3.0,546.0,342.6,27,0,08FEB2014,43,Y,N,N,24.0,22.7895,0,0,0,0,1714.7601,2/19/2014,0,154,,19325.0,110.906,309.57,,NISSAN,MURANO-V6UTILITY4DS2WD,47000,N,2010,N,0.0,0.0,,0.0,,,Y,N,0
374844,INDIRECTUSEDAUTO,GATEWAY,7.74,72,25654.51,04JAN2017,447.97,Coupon,25654.51,Unknown--ACH-4-Cash-3,1,N,N,1054,ConsumerLending,N,N,Y,34769,637,208,BUYING,3,0.0,LPN,48,EM,,4545.0,1684.0,,,,,,,,,,,46.908,15461.0,9.0,24872.0,2131.97,33,41,13AUG2013,49,N,Y,Y,,,2,0,1,0,22.5292,9/13/2013,418,29,KISSELBACKFORD,20325.0,126.221,398.68,,FORD,ESCAPE,32823,N,2013,Y,2000.0,-4450.0,,6450.0,FORD,EDGE,N,N,0
139438,USEDAUTO,LENDER,12.0,54,10811.17,11JUN2014,277.69,Cash,10812.0,Cash-16-Check-2,0,Y,Y,1439,St.Cloud,N,N,Y,32824,0,291,LIVEWITHPARENTS,24,300.0,CARVER,24,EM,,3000.0,0.0,,,,,,,,,,,19.256,0.0,0.0,0.0,277.69,29,0,11JUN2014,39,Y,N,N,,,0,0,0,0,37.409,,0,0,AUTOEXCHANGEOFCENTRALFLORIDALLC,11575.0,93.401,275.76,,TOYOTA,CAMRY-4CYL.,111799,N,2007,N,0.0,0.0,,0.0,,,Y,N,0
353539,USEDAUTO,LENDER,4.3,60,16664.92,18OCT2016,309.67,Coupon,16664.92,HomeBanking-11,0,N,N,1484,LakeNona,N,N,Y,33027-6124,735,219,RENT,12,750.0,AREACOACH(REGIONAL),135,EM,DIRECTDEPW/CFE,9166.67,846.0,,,,,,,,,,,20.789,11336.0,11.0,25213.0,1155.67,38,139,22MAR2005,150,Y,Y,Y,47.0,1835.9363,2,0,4,0,6629.0668,11/3/2012,705,418,ENTERPRISESALES,16875.0,98.755,256.05,,CHEVROLET,CRUZE,42112,N,2015,N,0.0,0.0,,0.0,,,Y,N,0
408082,INDIRECTUSEDAUTO,GATEWAY,2.74,48,11828.27,03MAY2017,260.72,AutoTransfer,11828.27,Unknown-,0,N,N,1439,ConsumerLending,N,N,Y,34761,850,445,BUYING,288,0.0,CLERK,229,EM,,1000.0,1384.0,841.0,421.0,BUYING,288.0,0.0,MANAGER,289.0,EM,7500.0,0.0,19.35,12921.0,11.0,12921.0,1644.72,51,235,15OCT1997,239,N,Y,N,7.0,737.0857,3,0,2,0,1389.2909,11/6/2012,124,11,NAPLETONSVWOFORLANDO,22525.0,52.512,259.84,,VOLKSWAGEN,BEETLECONVERTIBLE2DRDSG2.0TR-LINE,22668,N,2014,Y,8650.0,8650.0,,0.0,JEEP,WRANGLER,N,N,0
